,title,cast,crew,genres,keywords,original_language
2714,tequila_sunrise,"['mel_gibson', 'kurt_russell', 'j_t_walsh', 'michelle_pfeiffer', 'raul_julia', 'gabriel_damon', 'arliss_howard', 'arye_gross', 'daniel_zacapa', 'eric_thiele', 'tom_nolan', 'dawn_martel', 'lala_sloatman', 'budd_boetticher', 'ann_magnuson', 'david_rees']",['robert_towne'],"['action', 'adventure', 'crime', 'romance', 'thriller']","['restaurant', 'drug_dealer', 'shadowing', 'restaurant_owner', 'cop']",en
2715,the_pelican_brief,"['julia_roberts', 'denzel_washington', 'sam_shepard', 'william_atherton', 'john_lithgow', 'tom_quinn', 'john_heard', 'hume_cronyn', 'tony_goldwyn', 'robert_culp', 'stanley_tucci', 'cynthia_nixon']",['alan_j_pakula'],"['drama', 'mystery', 'thriller', 'crime']","['judge', 'professor', 'mission_of_murder', 'supreme_court']",en
2716,a_christmas_story,"['melinda_dillon', 'darren_mcgavin', 'peter_billingsley', 'jean_shepherd', 'ian_petrella', 'scott_schwartz', 'r_d_robb', 'zack_ward', 'yano_anaya', 'tedde_moore', 'jeff_gillen', 'leigh_brown', 'bob_clark', 'leslie_carlson', 'jim_hunter']",['bob_clark'],"['comedy', 'family']","['holiday', 'nostalgia', 'young_boy', 'bb_gun', 'essay']",en
2717,mickey_blue_eyes,"['hugh_grant', 'james_caan', 'jeanne_tripplehorn', 'burt_young', 'james_fox', 'joe_viterelli', 'gerry_becker', 'maddie_corman', 'tony_darrow', 'paul_lazar', 'vincent_pastore', 'scott_thompson', 'john_ventimiglia', 'frank_pellegrino']",['kelly_makin'],"['comedy', 'crime', 'romance']","['new_york', 'marriage_proposal', 'fbi', 'mafia_boss', 'mafia']",en
2718,teaching_mrs_tingle,"['helen_mirren', 'katie_holmes', 'jeffrey_tambor', 'molly_ringwald', 'vivica_a_fox', 'marisa_coughlan', 'barry_watson', 'michael_mckean', 'liz_stauber', 'john_patrick_white', 'robert_gant', 'harvey_silver', 'lesley_ann_warren', 'cherie_johnson', 'alan_heitz', 'brian_klugman', 'dayna_price']",['kevin_williamson'],"['comedy', 'thriller']","['pornography', 'exam', 'bed', 'graduation', 'final_exam']",en
2719,universal_soldier_the_return,"['jean_claude_van_damme', 'kiana_tom', 'bill_goldberg', 'michael_jai_white', 'heidi_schanz', 'xander_berkeley', 'justin_lazard', 'daniel_von_bargen', 'james_black', 'karis_paige_bryant', 'brent_hinkley', 'brent_anderson']",['mic_rodgers'],"['action', 'science_fiction']","['super_computer', 'computer_program', 'destiny', 'timebomb']",en
2720,universal_soldier,"['jean_claude_van_damme', 'dolph_lundgren', 'ally_walker', 'ed_o_ross', 'ralf_moeller', 'jerry_orbach', 'leon_rippy', 'tico_wells', 'robert_trebor', 'tom_lister_jr_', 'simon_rhee', 'rance_howard', 'lilyan_chauvin', 'thomas_rosales_jr_', 'ned_bellamy', 'george_fisher']",['roland_emmerich'],"['thriller', 'action', 'science_fiction', 'crime']","['vietnam', 'barrage', 'revitalization', 'reporter', 'soldier']",en
2721,love_stinks,"['french_stewart', 'bridgette_wilson', 'bill_bellamy', 'tyra_banks', 'tiffani_thiessen', 'colleen_camp', 'john_o_hurley', 'ivana_milicevic']",['jeff_franklin'],"['comedy', 'romance']","['behind_the_scenes', 'spa', 'planetarium', 'art_imitates_life']",en
2722,perfect_blue,"['junko_iwao', 'rica_matsumoto', 'shinpachi_tsuji', 'masaaki_okura', 'yosuke_akimoto', 'yoku_shioya', 'hideyuki_hori', 'emi_shinohara', 'kiyoyuki_yanada', 'toru_furusawa', 'shiho_niiyama', 'emiko_furukawa', 'aya_hara', 'shin_ichirou_miki', 'megumi_tano', 'akio_suyama', 'osamu_hosoi', 'koichi_tochika', 'emi_motoi', 'kisho_taniyama', 'shokka_ono', 'rofuto_purasu_wan_burazazu', 'makoto_kitano', 'soichiro_hoshi', 'masashi_ebara']",['satoshi_kon'],"['animation', 'thriller']","['japan', 'career', 'stalker', 'singer', 'animation']",ja
2723,with_friends_like_these_,"['bill_murray', 'adam_arkin', 'david_strathairn', 'jon_tenney', 'robert_costanzo', 'amy_madigan', 'laura_san_giacomo', 'elle_macpherson', 'lauren_tom', 'beverly_d_angelo', 'martin_scorsese']",['philip_frank_messina'],"['horror', 'science_fiction']",[],en
2724,in_too_deep,"['omar_epps', 'll_cool_j', 'nia_long', 'stanley_tucci', 'hill_harper', 'jake_weber', 'pam_grier', 'richard_brooks', 'david_patrick_kelly', 'hassan_johnson']",['michael_rymer'],"['drama', 'action', 'thriller', 'crime']",[],en
2725,the_source,"['dennis_hopper', 'john_turturro', 'steve_martin', 'johnny_depp']",['chuck_workman'],"['documentary', 'foreign']",[],en
2726,the_bat,"['vincent_price', 'agnes_moorehead', 'gavin_gordon', 'john_sutton', 'lenita_lane', 'darla_hood', 'elaine_edwards', 'john_bryant', 'harvey_stephens', 'mike_steele', 'riza_royce', 'robert_williams']",['crane_wilbur'],"['horror', 'mystery', 'thriller']","['bat', 'suspense']",en
2727,iron_eagle,"['louis_gossett_jr_', 'jason_gedrick', 'tim_thomerson', 'larry_b_scott', 'shawnee_smith', 'robbie_rist']",['sidney_j_furie'],"['action', 'thriller', 'war']","['dictator', 'father_son_relationship', 'government', 'execution']",en
2728,iron_eagle_ii,"['louis_gossett_jr_', 'mark_humphrey', 'stuart_margolin', 'alan_scarfe']",['sidney_j_furie'],"['action', 'adventure', 'drama', 'thriller']","['israel', 'atomic_bomb', 'pilot', 'air_force']",en
2729,iron_eagle_iii,"['louis_gossett_jr_', 'rachel_mclish', 'paul_freeman', 'horst_buchholz', 'christopher_cazenove', 'sonny_chiba', 'fred_dalton_thompson', 'mitchell_ryan', 'rob_estes', 'ray_mancini']",['john_glen'],"['action', 'thriller']","['poison', 'pilot', 'dying_and_death', 'airplane', 'drugs_and_addiction']",en
2730,iron_eagle_iv,"['louis_gossett_jr_', 'jason_cadieux', 'joanne_vannicola', 'max_piersig', 'karen_gayle', 'ross_hull', 'rachel_blanchard', 'dominic_zamprogna', 'sean_mccann', 'victoria_snow', 'jason_blicker', 'al_waxman', 'j_d_nicholsen', 'dean_mcdermott', 'aidan_devine', 'matt_cooke', 'jeff_pustil', 'chas_lawther', 'kevin_hicks']",['sidney_j_furie'],"['action', 'adventure']",[],en
2731,three_days_of_the_condor,"['robert_redford', 'faye_dunaway', 'cliff_robertson', 'max_von_sydow', 'john_houseman', 'addison_powell', 'walter_mcginn', 'tina_chen', 'john_randolph_jones', 'michael_kane', 'don_mchenry', 'michael_b_miller', 'jess_osuna', 'dino_narizzano', 'helen_stenborg', 'patrick_gorman', 'hansford_rowe', 'carlin_glynn', 'hank_garrett']",['sydney_pollack'],"['action', 'thriller', 'mystery']","['cia', 'office', 'condor']",en
2732,hamlet_from_the_lunt_fontanne_theatre,"['richard_burton', 'hume_cronyn', 'alfred_drake', 'eileen_herlie', 'william_redfield', 'george_rose', 'george_voskovec', 'hugh_alexander', 'philip_coolidge', 'christopher_culkin', 'john_cullum', 'michael_ebert', 'dillon_evans', 'clement_fowler', 'geoff_garland', 'john_gielgud', 'john_hetherington', 'barnard_hughes', 'linda_marsh', 'robert_milli', 'frederick_young', 'kate_beswick', 'alex_giannini', 'claude_harz', 'gerome_ragni', 'richard_sterne', 'carol_teitel']","['bill_colleran', 'john_gielgud']",[],[],en
2733,male_and_female,"['thomas_meighan', 'theodore_roberts', 'raymond_hatton', 'robert_cain', 'gloria_swanson', 'lila_lee', 'bebe_daniels', 'julia_faye']",['cecil_b_demille'],"['adventure', 'drama']",[],en
2734,medicine_man,"['sean_connery', 'lorraine_bracco', 'jose_wilker', 'rodolfo_de_alexandre', 'angelo_barra_moreira', 'francisco_tsiren_tsere_rereme', 'elias_monteiro_da_silva', 'edinei_maria_serrio_dos_santos', 'bec_kana_re_dos_santos_kaiapo', 'jose_lavat']",['john_mctiernan'],['adventure'],"['medicine', 'ant', 'research', 'amazon', 'cancer']",en
2735,the_spiders_the_golden_sea,"['carl_de_vogt', 'ressel_orla', 'georg_john', 'lil_dagover']",['fritz_lang'],['adventure'],"['spy', 'secret_society', 'incan', 'human_sacrifice', 'hidden_treasure']",en
2736,on_the_ropes,[],"['nanette_burstein', 'brett_morgen']",[],['woman_director'],en
2737,rosie,"['aranka_coppens', 'dirk_roofthooft', 'sara_de_roo', 'joost_wijnant', 'frank_vercruyssen']",['patrice_toye'],[],['woman_director'],nl
2738,the_13th_warrior,"['antonio_banderas', 'vladimir_kulich', 'dennis_storhi', 'daniel_southern', 'clive_russell', 'mischa_hausserman', 'richard_bremmer', 'diane_venora', 'neil_maffin', 'john_desantis', 'oliver_sveinall', 'asbjrn_bear_riis', 'tony_curran', 'albie_woodington', 'omar_sharif', 'erick_avari', 'john_bear_curtis', 'andrew_kavadas', 'richard_ooms']",['john_mctiernan'],"['adventure', 'fantasy', 'action']","['witch', 'cave', 'arabian', 'scandinavia', 'bagdad']",en
2739,the_astronaut_s_wife,"['johnny_depp', 'charlize_theron', 'joe_morton', 'clea_duvall', 'nick_cassavetes', 'donna_murphy', 'gary_grubbs', 'blair_brown', 'tom_noonan', 'tom_o_brien', 'lucy_lin', 'michael_crider', 'samantha_eggar', 'rondi_reed', 'conrad_bachmann', 'sarah_dampf', 'charles_lanyer', 'gary_carlos_cervantes', 'seth_barrish', 'ellen_lancaster', 'julian_barnes', 'priscilla_shanks', 'jennifer_burry', 'susan_cella', 'linda_powell', 'elston_ridgle', 'robert_sella', 'samantha_carpel', 'stephen_berger', 'michael_luceri', 'ben_van_bergen', 'edward_kerr', 'cole_sprouse', 'dylan_sprouse', 'carl_burrows', 'buck_holland']",['rand_ravich'],"['drama', 'science_fiction', 'thriller']","['wife_husband_relationship', 'space_travel', 'space', 'mission', 'pregnancy']",en
2740,dudley_do_right,"['brendan_fraser', 'sarah_jessica_parker', 'alfred_molina', 'eric_idle', 'robert_prosky', 'jack_kehler', 'alex_rocco', 'louis_mustillo', 'don_yesso', 'jed_rees', 'brant_von_hoffman', 'corey_burton', 'dyllan_christopher', 'ashley_yarman', 'jeremy_bergman', 'douglas_newell', 'haig_sutherland', 'michael_mccarty', 'rondel_reynoldson', 'rick_poltaruk', 'kevin_blatch', 'regis_philbin', 'kathie_lee_gifford', 'ernie_grunwald', 'jennifer_clement', 'brian_arnold', 'paul_barsanti', 'eddie_moore', 'eric_breker', 'jennifer_rockett', 'robert_saunders', 'c_ernst_harth', 'gerard_plunkett', 'michal_suchanek', 'brent_butt', 'john_destry', 'david_fredericks', 'william_macdonald', 'oscar_goncalves', 'jessica_schreier', 'kevin_mundy', 'justen_harcourt', 'nathan_bennett', 'isis_johnson', 'art_irizawa', 'bryan_anthony', 'adrian_armas', 'jennifer_armstrong', 'scott_augustine', 'linda_bernath', 'jeffrey_broadhurst', 'dominic_carbone', 'kelsey_chace', 'michael_chambers', 'anne_fletcher', 'scott_fowler', 'amber_funk', 'bob_gaynor', 'leigh_hilary', 'sarah_hofmann', 'erik_hyler', 'russ_jones', 'eleu_kruse', 'lance_macdonald', 'jocelyn_peden', 'cindi_poe', 'lisa_ratzin', 'artine_brown', 'erick_kaffka', 'robin_mossley', 'gerald_scarr', 'tony_willett', 'nicole_robert']",['hugh_wilson'],"['comedy', 'family', 'romance']","['based_on_cartoon', 'mountie']",en
2741,the_muse,"['albert_brooks', 'sharon_stone', 'andie_macdowell', 'jeff_bridges', 'cybill_shepherd', 'jennifer_tilly', 'monica_mikala', 'jamie_alexis', 'catherine_macneal', 'mark_feuerstein', 'bradley_whitford', 'stacey_travis', 'lorenzo_lamas']",['albert_brooks'],"['fantasy', 'comedy']","['screenwriter', 'muse']",en
2742,cabaret_balkan,"['ivan_bekjarev', 'vojislav_brajovic', 'mira_banjac', 'aleksandar_bercek', 'bogdan_diklic', 'milena_dravic', 'nebojsa_glogovac', 'mirjana_karanovic', 'predrag_miki_manojlovic', 'dragan_nikolic', 'ana_sofrenovic', 'danilo_bata_stojkovic', 'ljuba_tadic', 'sergej_trifunovic']",['goran_paskaljevic'],['drama'],"['bus', 'barge']",sr
2743,a_dog_of_flanders,"['jack_warden', 'jeremy_james_kissner', 'jesse_james', 'jon_voight', 'cheryl_ladd', 'bruce_mcgill', 'steven_hartley', 'andrew_bicknell', 'farren_monet']",['kevin_brodie'],"['drama', 'family']",[],en
2744,the_lost_son,"['daniel_auteuil', 'nastassja_kinski', 'katrin_cartlidge', 'marianne_denicourt', 'ciaran_hinds', 'billie_whitelaw', 'cyril_shaps', 'bruce_greenwood', 'jamie_harris', 'hemal_pandya', 'billy_smyth', 'cal_macaninch', 'mark_benton', 'michael_liebman', 'joe_white', 'ray_macallan', 'julio_garcia', 'mehmet_ferda', 'anneka_svenska', 'brenda_whitehead', 'christine_perez', 'david_hayman', 'natalie_rogers', 'charlotte_carew_gibbs', 'gregory_mcfarnon', 'marsha_fitzalan', 'will_welch']",['chris_menges'],"['mystery', 'thriller']",['suspense'],en
2745,lucie_aubrac,"['carole_bouquet', 'daniel_auteuil', 'patrice_chereau', 'jean_roger_milo', 'eric_boucher', 'bernard_verley', 'pascal_greggory', 'hans_wyprachtiger', 'andrzej_seweryn', 'jean_claude_bourbault', 'roland_amstutz', 'jean_claude_grumberg', 'daniele_goldmann', 'jean_martin', 'marie_pillet', 'maxime_henry', 'jean_louis_richard', 'gregoire_oestermann', 'olga_grumberg', 'hubert_saint_macary', 'yves_neff', 'jacques_bonnaffe', 'heino_ferch']",['claude_berri'],['drama'],[],fr
2746,the_very_thought_of_you,"['monica_potter', 'rufus_sewell', 'tom_hollander', 'joseph_fiennes', 'ray_winstone', 'debora_weston', 'jan_pearson', 'rebecca_craig', 'paul_bigley', 'steven_o_donnell']",['nick_hamm'],"['comedy', 'romance']","['london_england', 'independent_film']",en
2747,chill_factor,"['cuba_gooding_jr_', 'skeet_ulrich', 'peter_firth', 'david_paymer', 'daniel_hugh_kelly', 'judson_mills', 'jordan_mott', 'hudson_leick', 'kevin_j_o_connor']",['hugh_johnson'],"['action', 'comedy', 'thriller']",[],en
2748,outside_providence,"['shawn_hatosy', 'amy_smart', 'alec_baldwin', 'jon_abrahams', 'richard_jenkins', 'george_wendt', 'robert_turano', 'gabriel_mann', 'george_martin', 'libby_langdon', 'jonathan_brandis', 'jack_ferver']",['michael_corrente'],"['romance', 'comedy', 'drama']","['suicide', 'sex', 'sexuality', 'college', 'police']",en
2749,bedrooms_and_hallways,"['james_purefoy', 'harriet_walter', 'jennifer_ehle', 'kevin_mckidd', 'tom_hollander', 'hugo_weaving', 'paul_higgins', 'julie_graham', 'simon_callow', 'con_o_neill', 'christopher_fulford']",['rose_troche'],"['comedy', 'drama', 'romance']","['gay', 'meditation', 'coming_out', 'party', 'independent_film']",en
2750,i_woke_up_early_the_day_i_died,"['billy_zane', 'tippi_hedren', 'ron_perlman', 'sandra_bernhard', 'michael_greene', 'christina_ricci', 'andrew_mccarthy', 'ann_magnuson', 'bud_cort', 'taylor_negron', 'max_perlich', 'patrick_painter', 'carel_struycken', 'tara_reid', 'kathleen_robertson', 'nicollette_sheridan', 'karen_black', 'will_patton', 'john_ritter', 'maila_nurmi', 'eartha_kitt', 'conrad_brooks', 'leif_garrett', 'brent_hinkley', 'steven_weber', 'summer_phoenix', 'rain_phoenix', 'jonathan_taylor_thomas']",['aris_iliopulos'],['comedy'],"['nurse', 'thief']",en
2751,west_beyrouth,"['rami_doueiri', 'naamar_sahli', 'mohamad_chamas', 'rola_al_amin', 'carmen_lebbos', 'carmen_lebbos', 'liliane_nemri', 'leila_karam', 'mahmoud_mabsout', 'hassan_farhat', 'fadi_abou_khalil']",['ziad_doueiri'],"['romance', 'drama', 'comedy']",[],en
2752,stigmata,"['patricia_arquette', 'gabriel_byrne', 'jonathan_pryce', 'nia_long', 'thomas_kopache', 'rade_serbedzija', 'enrico_colantoni', 'dick_latessa', 'portia_de_rossi', 'patrick_muldoon', 'ann_cusack', 'shaun_toub', 'tom_hodges', 'lydia_hazan', 'shaun_duke']",['rupert_wainwright'],['horror'],"['vatican', 'miracle', 'christian', 'faith', 'clergyman']",en
2753,stir_of_echoes,"['kevin_bacon', 'kathryn_erbe', 'illeana_douglas', 'kevin_dunn', 'conor_o_farrell', 'lusia_strus', 'zachary_david_cope', 'stephen_eugene_walker', 'mary_kay_cook', 'larry_neumann_jr_', 'jennifer_morrison', 'liza_weil']",['david_koepp'],"['horror', 'mystery', 'thriller']","['secret', 'obsession', 'paranoia', 'grave', 'haunted_house']",en
2754,best_laid_plans,"['reese_witherspoon', 'alessandro_nivola', 'josh_brolin', 'gene_wolande', 'terrence_howard', 'jamie_marsh', 'teddy_vincent', 'jane_morris', 'rebecca_klingler']",['mike_barker'],"['drama', 'thriller', 'crime']",['suspense'],en
2755,black_cat_white_cat,"['bajram_severdzhan', 'sran_todorovic', 'zabit_memedov', 'florijan_ajdini', 'branka_katic', 'ljubica_adzovic', 'sabri_sulejmani', 'jashar_destani', 'predrag_lakovic']",['emir_kusturica'],"['comedy', 'romance']","['gypsy', 'yugoslavia', 'father_son_relationship', 'cat', 'brother_sister_relationship']",sr
2756,the_minus_man,"['owen_wilson', 'brian_cox', 'sheryl_crow', 'dwight_yoakam', 'dennis_haysbert', 'alex_warren', 'mercedes_ruehl', 'eric_mabius', 'janeane_garofalo', 'larry_miller', 'john_carroll_lynch', 'meg_foster', 'chloe_black', 'lois_gerace', 'erik_holland', 'danny_big_black_rey', 'axel_ovregaard', 'brent_briscoe', 'john_vargas', 'lew_mccreary', 'shannon_kies', 'madeleine_ignon', 'maria_diaz', 'david_warshofsky', 'mark_derwin', 'matt_gerald', 'shannon_frank', 'kevin_halloran', 'flo_lawrence']",['hampton_fancher'],"['drama', 'thriller']",[],en
2757,whiteboyz,"['danny_hoch', 'piper_perabo', 'dr_dre', 'fat_joe', 'eugene_byrd', 'dash_mihok', 'mark_webber', 'william_n_mayberry', 'eric_rivas_quiroga', 'snoop_dogg']",['marc_levin'],"['comedy', 'drama', 'music']",[],en
2758,the_adventures_of_milo_and_otis,"['dudley_moore', 'kyoko_koizumi', 'milo', 'otis', 'shigeru_tsuyuki']",['masanori_hata'],"['adventure', 'drama', 'family']","['cat', 'fight', 'chicken', 'barn', 'pig']",ja
2759,only_angels_have_wings,"['cary_grant', 'jean_arthur', 'richard_barthelmess', 'rita_hayworth', 'thomas_mitchell', 'allyn_joslyn', 'sig_ruman', 'victor_kilian', 'john_carroll', 'don_barry', 'noah_beery_jr_', 'pat_flaherty', 'stanley_brown', 'cecilia_callejo', 'candy_candido', 'vernon_dent', 'forbes_murray', 'robert_sterling', 'rafael_storm', 'enrique_acosta', 'dick_botiller', 'curley_dresden', 'james_millican', 'pedro_regas', 'manuel_alvarez_maciste', 'milisa_sierra', 'lucio_villegas', 'pat_west', 'wilson_benge', 'lew_davis', 'eddie_foster', 'ed_randolph', 'al_rhein', 'ky_robinson', 'harry_a_bailey', 'raul_lechuga', 'tessie_murray', 'aurora_navarro', 'elena_duran', 'budd_fine', 'tex_higginson', 'charles_r_moore', 'inez_palange', 'sammee_tong', 'francisco_maran', 'jack_low', 'victor_travers']",['howard_hawks'],"['action', 'adventure', 'drama', 'romance']","['pilot', 'south_america', 'old_flame', 'showgirl']",en
2760,othello,"['orson_welles', 'micheal_macliammoir', 'robert_coote', 'suzanne_cloutier', 'hilton_edwards', 'nicholas_bruce', 'michael_laurence', 'fay_compton', 'doris_dowling', 'joan_fontaine', 'joseph_cotten', 'robert_rietty', 'gudrun_ure']",['orson_welles'],"['drama', 'romance']","['shakespeare', 'wife_husband_relationship', 'victim', 'love', 'murder']",en
2761,queens_logic,"['kevin_bacon', 'jamie_lee_curtis', 'linda_fiorentino', 'john_malkovich', 'joe_mantegna', 'ken_olin', 'tony_spiridakis', 'tom_waits', 'chloe_webb', 'michael_zelniker', 'kelly_bishop', 'terry_kinney', 'ed_marinaro']",['steve_rash'],"['comedy', 'drama']","['friendship', 'queens_new_york_city']",en
2762,public_access,"['ron_marquette', 'burt_williams', 'leigh_hunt', 'john_renshaw', 'jennifer_mcmanus', 'brandon_boyce', 'dina_brooks', 'craig_stovall', 'bruce_germaine', 'margaret_kerry', 'margaret_kerry', 'charles_kavanaugh', 'randall_slavin', 'liz_dilts', 'heidi_van_lier', 'john_ellis', 'shawn_ellis', 'christopher_mcquarrie', 'matt_jacobson', 'ross_collins', 'virginia_perry', 'mark_norling', 'larry_maxwell', 'jason_valance', 'prentiss_hallenbeck', 'dan_spahn', 'diane_spahn', 'adam_ripp']",['bryan_singer'],"['drama', 'thriller']",[],en
2763,a_soldier_s_story,"['howard_rollins', 'adolph_caesar', 'art_evans', 'robert_townsend', 'denzel_washington', 'david_alan_grier', 'david_harris', 'dennis_lipscomb', 'patti_labelle', 'wings_hauser', 'larry_riley', 'william_allen_young', 'scott_paulin', 'john_hancock', 'trey_wilson', 'patricia_brandkamp', 'carl_dreher', 'vaughn_reeves', 'michael_anthony_williams', 'bobby_mcgee', 'rick_ramey']",['norman_jewison'],"['drama', 'mystery', 'war']","['racist', 'black', 'revenge', 'boot_camp', 'based_on_play_or_musical']",en
2764,alice_sweet_alice,"['linda_miller', 'mildred_clinton', 'paula_e_sheppard', 'niles_mcmaster', 'jane_lowry', 'rudolph_willrich', 'michael_hardstark', 'alphonso_denoble', 'gary_allen', 'brooke_shields', 'louisa_horton', 'tom_signorelli', 'lillian_roth', 'patrick_gorman', 'kathy_rich']",['alfred_sole'],"['horror', 'mystery', 'thriller']","['single_parent', 'church_service', 'burned_alive', 'psychopathic_killer', 'proto_slasher']",en
2765,don_t_look_in_the_basement,"['bill_mcghee', 'jessie_lee_fulton', 'robert_dracup', 'harryette_warren', 'michael_harvey', 'jessie_kirby', 'hugh_feagin', 'betty_chandler', 'camilla_carr', 'gene_ross', 'annabelle_weenick', 'rosie_holotik', 'rhea_macadams']",['s_f_brownrigg'],"['horror', 'thriller']","['asylum', 'insane_asylum', 'mystery', 'sanitarium', 'patient']",en
2766,nightmares,"['cristina_raines', 'emilio_estevez', 'lance_henriksen', 'richard_masur', 'veronica_cartwright', 'billy_jacoby', 'moon_unit_zappa', 'tony_plana', 'joe_lambie', 'robin_gammell', 'bridgette_andersen', 'albert_hague', 'lee_ving', 'mariclare_costello', 'louis_giambalvo', 'william_sanderson']",['joseph_sargent'],"['science_fiction', 'horror']","['video_game', 'monster', 'supernatural', 'truck', 'anthology']",en
2767,i_saw_what_you_did,"['joan_crawford', 'john_ireland', 'leif_erickson', 'sara_lane', 'andi_garrett', 'sharyl_locke', 'patricia_breslin', 'john_archer', 'john_crawford', 'joyce_meadows', 'tom_hatten', 'douglas_evans', 'barbara_wilkin', 'glen_vernon', 'sara_anderson', 'janet_hamill', 'john_crowther', 'dee_carroll', 'russ_bender']",['william_castle'],"['horror', 'mystery', 'thriller']","['male_nudity', 'based_on_novel', 'nudity', 'murder', 'neighbor']",en
2768,yellow_submarine,"['paul_angelis', 'john_lennon', 'paul_mccartney', 'george_harrison', 'ringo_starr']",['george_dunning'],"['animation', 'fantasy', 'music']","['submarine', 'fab_four', 'colours', 'music', 'blase']",en
2769,american_beauty,"['kevin_spacey', 'annette_bening', 'thora_birch', 'wes_bentley', 'mena_suvari', 'chris_cooper', 'scott_bakula', 'peter_gallagher', 'allison_janney', 'sam_robards', 'barry_del_sherman', 'john_cho', 'hal_fort_atkinson', 'kent_faulcon', 'ara_celi', 'sue_casey', 'brenda_wehle', 'lisa_cloud', 'amber_smith', 'joel_mccrary', 'marissa_jaret_winokur', 'dennis_anderson', 'matthew_kimbrough', 'erin_cathryn_strubbe', 'alison_faulk', 'krista_goodsitt', 'lily_houtkin', 'carolina_lancaster', 'mona_leah', 'chekesha_van_putten', 'emily_zachary', 'nancy_anderson', 'reshma_gajjar', 'stephanie_rizzo', 'heather_joy_sher', 'chelsea_hertford', 'elaine_corral_kendall', 'david_c_fisher', 'tom_miller', 'bruce_cohen']",['sam_mendes'],['drama'],"['male_nudity', 'female_nudity', 'adultery', 'parent_child_relationship', 'midlife_crisis']",en
2770,stop_making_sense,"['david_byrne', 'tina_weymouth', 'chris_frantz', 'jerry_harrison', 'steven_scales', 'bernie_worrell', 'alex_weir', 'lynn_mabry', 'ednah_holt']",['jonathan_demme'],"['documentary', 'music']",['concert'],en
2771,blue_streak,"['martin_lawrence', 'luke_wilson', 'dave_chappelle', 'peter_greene', 'nicole_ari_parker', 'william_forsythe', 'graham_beckel', 'robert_miranda', 'olek_krupa', 'saverio_guerra', 'tamala_jones', 'john_hawkes', 'billy_sly_williams', 'brandon_de_paul', 'richard_c_sarafian', 'julio_oscar_mechoso', 'steve_rankin', 'carmen_argenziano', 'frank_medrano', 'octavia_spencer', 'timothy_dale_agee', 'bayani_ison', 'scott_sowers', 'christopher_stapleton', 'eddy_donno', 'troy_gilbert', 'kenny_endoso', 'googy_gress', 'robert_lasardo', 'bill_ferrell', 'billy_sly_williams', 'greg_montgomery', 'jason_kravits', 'eidan_hanzei', 'james_w_gavin', 'anne_marie_howard', 'jane_carr', 'amy_oberer', 'ash_winfield', 'erik_rondell', 'j_kenneth_campbell', 'joel_hurt_jones', 'darryl_brunson', 'shawn_elaine_brown_chiquette', 'christian_christiansen', 'michael_grasso', 'john_mccarthy', 'jeff_xander', 'damian_foster', 'yetta_ginsburg', 'daniel_rogerson']",['les_mayfield'],"['action', 'comedy', 'crime']","['robbery', 'diamant', 'police_operation', 'police_everyday_life', 'thief']",en
2772,for_love_of_the_game,"['kevin_costner', 'kelly_preston', 'john_c_reilly', 'jena_malone', 'j_k_simmons', 'brian_cox', 'david_mucci']",['sam_raimi'],"['drama', 'romance']","['baseball', 'trainer', 'career', 'legend', 'training']",en
2773,caligula,"['malcolm_mcdowell', 'teresa_ann_savoy', 'helen_mirren', 'peter_o_toole', 'john_gielgud', 'paolo_bonacelli', 'guido_mannari', 'giancarlo_badessi', 'john_steiner', 'bruno_brive', 'anneka_di_lorenzo', 'adriana_asti']","['tinto_brass', 'bob_guccione', 'giancarlo_lui']","['drama', 'history', 'romance']","['italy', 'assassination', 'rape', 'sexuality', 'roman_empire']",en
2774,a_hard_day_s_night,"['john_lennon', 'paul_mccartney', 'george_harrison', 'ringo_starr', 'wilfrid_brambell', 'norman_rossington', 'john_junkin', 'victor_spinetti', 'anna_quayle', 'deryck_guyler', 'isla_blair', 'pattie_boyd', 'richard_vernon', 'edward_malin']",['richard_lester'],"['comedy', 'music']","['adolescence', 'culture_clash', 'press_conference', 'behind_the_scenes', 'police_chase']",en
2775,splendor,"['kathleen_robertson', 'matt_keeslar', 'kelly_macdonald', 'eric_mabius', 'dan_gatto', 'linda_kim', 'audrey_ruttan', 'nathan_bexton', 'amy_stevens', 'adam_carolla', 'julie_millett', 'jenica_bergere', 'paige_dunn', 'emile_hamaty', 'george_pennacchio', 'wesley_b', 'johnathon_schaech']",['gregg_araki'],['comedy'],['menage_a_trois'],en
2776,sugar_town,"['john_taylor', 'michael_des_barres', 'martin_kemp', 'jade_gordon', 'larry_klein', 'john_doe', 'lucinda_jenney', 'marion_moseley', 'veronica_nommenson', 'elena_nommenson', 'rosanna_arquette']","['allison_anders', 'kurt_voss']",['comedy'],['woman_director'],en
2777,the_buddy_holly_story,"['gary_busey', 'don_stroud', 'charles_martin_smith', 'conrad_janis', 'william_jordan', 'maria_richwine', 'amy_johnston', 'dick_o_neill', 'fred_travalena', 'neva_patterson', 'arch_johnson', 'john_f_goff', 'gloria_irizarry', 'jody_berry', 'richard_kennedy', 'jim_beach', 'gailard_sartain', 'albert_popwell', 'paul_mooney']",['steve_rash'],['drama'],"['disc_jockey', 'star', 'affection', 'from_rags_to_riches', 'airplane_crash']",en
